2018-06-15 06:39:31 status unpacked libmagic1:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:31 status unpacked libmagic1:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:31 trigproc man-db:armhf 2.7.5-1 <none>
2018-06-15 06:39:31 status half-configured man-db:armhf 2.7.5-1
2018-06-15 06:39:32 status installed man-db:armhf 2.7.5-1
2018-06-15 06:39:33 trigproc libc-bin:armhf 2.23-0ubuntu10 <none>
2018-06-15 06:39:33 status half-configured libc-bin:armhf 2.23-0ubuntu10
2018-06-15 06:39:33 status installed libc-bin:armhf 2.23-0ubuntu10
2018-06-15 06:39:33 startup packages configure
2018-06-15 06:39:33 configure libmagic1:armhf 1:5.25-2ubuntu1.1 <none>
2018-06-15 06:39:33 status triggers-pending libc-bin:armhf 2.23-0ubuntu10
2018-06-15 06:39:33 status unpacked libmagic1:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 status unpacked libmagic1:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 status unpacked libmagic1:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 status half-configured libmagic1:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 status installed libmagic1:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 configure file:armhf 1:5.25-2ubuntu1.1 <none>
2018-06-15 06:39:33 status unpacked file:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 status half-configured file:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 status installed file:armhf 1:5.25-2ubuntu1.1
2018-06-15 06:39:33 trigproc libc-bin:armhf 2.23-0ubuntu10 <none>
2018-06-15 06:39:33 status half-configured libc-bin:armhf 2.23-0ubuntu10
2018-06-15 06:39:33 status installed libc-bin:armhf 2.23-0ubuntu10
2018-06-15 06:39:33 startup packages configure
2018-06-20 06:06:00 startup archives unpack
2018-06-20 06:06:00 upgrade libgcrypt20:armhf 1.6.5-2ubuntu0.4 1.6.5-2ubuntu0.5
2018-06-20 06:06:00 status triggers-pending libc-bin:armhf 2.23-0ubuntu10
2018-06-20 06:06:00 status half-configured libgcrypt20:armhf 1.6.5-2ubuntu0.4
2018-06-20 06:06:00 status unpacked libgcrypt20:armhf 1.6.5-2ubuntu0.4
2018-06-20 06:06:00 status half-installed libgcrypt20:armhf 1.6.5-2ubuntu0.4
2018-06-20 06:06:01 status half-installed libgcrypt20:armhf 1.6.5-2ubuntu0.4
2018-06-20 06:06:01 status unpacked libgcrypt20:armhf 1.6.5-2ubuntu0.5
